Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Belize,All,Exports,Tonnes – net product weight,TPW,879,,728,,1403,,670,,566,,670,,641,,769,,643,,633,,609,,725,,752,,759,,758,,830,,1020,,1086,,953,,1215,,1148,,1482,,2171,,3346,,2663,,2670,,1164,,7122,E,8555,,9595,,8045,,3160,,5313,,6519,,7097,,6006,,5720,,7661,,7396.49,,5500.48,,1710.97,,1617.42,,1424.52,,1479.55,,1061.94,,1152.46,
Belize,All,Imports,Tonnes – net product weight,TPW,139,,155,,151,,235,,283,,178,,110,,59,,201,,121,,186,,319,,204,,434,,195,,236,,282,,224,,176,,241,,199,,198,,450,,1170,,1761,,5994,,4779,,7163,,1962,,2685,,1948,,1263,,1235,,739,,676,,184,,304,,286,,451.22,,301.16,,365.85,,244.84,,302.82,,231.13,,251.89,,322.49,
Belize,All,Reexports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,10,,29,,40,,0,...,0,...,0,...,0,...,18,,16,,18,,1,,0,...,0,...,0,...,0,...,20,,0,N,0,...,0,...,108,,0,...,1,,1,,1,,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Benin,All,Exports,Tonnes – net product weight,TPW,328,,328,E,42,,77,,4,,17,,2,,0,...,66,,139,,165,,115,,176,,64,E,41,E,44,,32,,366,,488,,374,,412,,358,,631,,324,,487,,666,,772,,439,,244,,143,,333,,660,,65,,135,,1149,,1106,,531,,481,,1174,,281,,199,,211,,141.71,,63.49,E,82.23,,78.01,
Benin,All,Imports,Tonnes – net product weight,TPW,6247,,6216,,7186,,6955,,4126,,4896,,5858,,4359,,4523,,5658,,7481,,5403,,5160,,2214,,2600,E,10193,,13536,,18715,,11547,,13359,,11285,,11348,,8487,,15449,,21219,,11688,,21564,,29232,,28628,,45124,,56772,,66643,,80643,,75259,,78362,,81541,,79784,,86201,,150708,,148381,,174540,,105090,,107530,,111084.66,,114365.96,,112355.58,
Benin,All,Reexports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,47,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,4,,0,...,0,...,0,...,0,...,0,...
Bermuda,All,Exports,Tonnes – net product weight,TPW,18700,,33400,,25190,,17000,E,15000,E,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,E,2,,0,...,2,E,15,E,0,...,3,E,94,E,20,E,9,E,21,E,2,E,20,E,25,E,19,E,0,...,0,N,3,,2,,1,E,1,,1,E,2,,3.34,,1.59,,0.91,
Bermuda,All,Imports,Tonnes – net product weight,TPW,1061,E,824,E,906,E,1413,E,1052,E,1000,E,1094,E,1178,E,1276,E,1270,E,1240,E,1118,E,1322,E,1224,E,1686,E,1458,E,1568,E,1368,E,1350,E,947,E,950,E,1252,E,1010,E,1111,E,996,E,1300,E,1161,E,1089,E,1120,E,2075,E,2321,E,2280,E,2145,E,1933,E,1510,E,1660,E,1979,E,2231,E,2155,,2257,,2097,,1752,,2099,,1677.43,,1373.55,,1405.68,
Bhutan,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,116,,12,,0,...,0,N,0,...,1,,3,,0,...,1,E,0,...,0,...,0,...,0,...,0,...,4.54,E,17.58,E,0,...
Bhutan,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2044,,2272,,2236,,1774,,1834,,2138,,2389,,2710,,2793,E,2620,E,2568,E,2493,E,2401,E,2683,E,3123.67,E,2902.46,E,3250.72,E
