Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Bahrain,All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,128,,0,...,242,,67,,22,,98,,37,,30,,364,,0,...,336,,1628,,2073,,1145,,1361,,411,,1370,,0,...,6352,,0,...,0,...,0,...
Bangladesh,All,Exports,Value (USD 1000),USD (1000),11922,,18066,,12876,,29758,,42705,,39724,,50208,,70260,,81219,,88653,,118154,,146853,,162402,,162455,,167050,,160817,,159023,,201505,,293376,,322854,,317229,,291651,,271597,,251868,,342617,,355893,,301484,,325111,,372691,,635077,,450515,,631244,,562565,,398243,,541466,,642909,,498659,,539326,,603607,,447913,,559778,E,497081,E,447846,E,472828.17,E,425887.05,E,441892.84,E
Bangladesh,All,Imports,Value (USD 1000),USD (1000),126,,123,,51,,99,,76,,12,,14,,0,...,0,...,0,...,1,,6,,14,,29,,3,,52,,197,,168,E,381,,803,,3343,,2302,,5122,,1653,E,4051,,7512,,10959,,6397,,13868,,5539,,3424,,7163,,7643,,21194,,21581,,19389,,20227,,35472,,55373,E,88448,,85851,E,93258,E,122095,E,160036.44,E,122934.71,E,163157.29,E
Barbados,All,Exports,Value (USD 1000),USD (1000),385,,998,,58,,37,,13,,74,,7,,46,,41,,46,,105,,100,E,425,,168,,156,,114,,183,,237,,330,,844,,515,,1503,,1226,,902,,1252,,2179,,1611,,1413,E,1782,E,2680,E,1516,E,1319,E,1102,,421,,652,E,640,E,1116,E,1436,E,1488,E,1755,E,2410,E,1886,E,2177,E,1437.41,E,1551.45,E,1452.32,
Barbados,All,Imports,Value (USD 1000),USD (1000),1732,,1950,,3236,,3579,,3013,,4596,,3991,,2928,,3580,,3813,,4123,,4240,E,4931,,6185,,6309,,6810,,6077,,6466,,7026,,8388,,7959,,9639,,6048,,11075,,10932,,12395,,13442,,13614,,11815,,17435,,18883,,18925,,20374,,18197,,18042,,22254,,25912,,22329,,24926,,25840,,23577,,26197,,29689,,28856.53,,24898.38,,26643.89,
Barbados,All,Reexports,Value (USD 1000),USD (1000),11,,51,,43,,225,,68,,24,,34,,0,...,0,...,21,,1,,0,...,0,...,43,,151,,94,,37,,16,,19,,27,,122,,57,,35,,49,,62,,45,,31,,0,...,0,...,15,,12,,0,N,0,...,21,,0,...,0,...,78,,71,,46,,42,,56,,21,,0,...,0,...,36.46,,14.34,
Belarus,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2030,E,8750,E,5118,E,3459,E,16684,,14252,,19007,,15779,,20798,,38829,,51970,,60650,,83606,,107439,,138334,,98108,,113167,,150082,,188500,,268178,,319780,,258859,,255632,,324910,,339941,,367716.1,,347193.4,,436908.5,
Belarus,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3615,E,9000,E,39588,,43639,,71045,E,76505,,58183,,88123,,93407,,102930,,113190,,150639,,204032,,249377,,286696,,342978,,299681,,279592,,298207,,363492,,486911,,513047,,385406,,361619,,409828,,430739,,449244.4,,440133.8,,530381.2,
Belgium,All,Exports,Value (USD 1000),USD (1000),42761,,48215,,62849,,69763,,78986,,73355,,73128,,87412,,87813,,84658,,126639,,167618,,174887,,185666,,230504,,229827,,220036,,232483,,325790,,371479,,393222,,441835,,484964,,454867,,478577,,525532,,576372,,771307,,882910,,975101,,1158142,,1213593,,1284684,,1079841,,1140616,,1298704,,1075762,,1106353,,1205317,,1069004,,1148541,,1285343,,1181491,,1090367.2,,1117593.45,,1229660.77,
Belgium,All,Imports,Value (USD 1000),USD (1000),216298,,256515,,300395,,375507,,408381,,348974,,328059,,320191,,300250,,305346,,427918,,532330,,586806,,608738,,757462,,779070,,831210,,733640,,927730,,1041241,,972651,,985149,,1068456,,1075478,,1038537,,1005707,,1069334,,1396914,,1530953,,1666342,,1935975,,2129583,,2284883,,1953403,,2019433,,2314358,,2053310,,2165122,,2394019,,1993149,,2159397,,2330104,,2291889.3,,2144093.15,,2110948.34,,2369383.26,
Belize,All,Exports,Value (USD 1000),USD (1000),2899,,2883,,3496,,4800,,4468,,6434,,5983,,6977,,6663,,7383,,7178,,8436,,6239,,6704,,5209,,10243,,12034,,12318,,13248,,15764,,12427,,17935,,21848,,33288,,32284,,14057,,9511,,55128,,53968,,43023,,43069,,20856,,23838,,26284,,31334,,25408,,29053,,56499,,56417.12,,43758.1,,21110.01,,20301.98,,21078.84,,24108.83,,19198.55,,26147.92,
Belize,All,Imports,Value (USD 1000),USD (1000),244,,295,,434,,604,,554,,371,,225,,141,,392,,434,,523,,748,,871,,1238,,519,,766,,939,,780,,707,,966,,740,,790,,1729,,2999,,3313,,1815,,1756,,2578,,1763,,2589,,2002,,1561,,2090,,1343,,1214,,454,,650,,602,,1242.3,,922.5,,936.87,,655.42,,890.58,,705.33,,564.42,,955.11,
Belize,All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,71,,269,,262,,0,...,0,...,0,...,0,...,125,,65,,134,,7,,0,...,0,...,0,...,0,...,18,,2,,0,...,0,...,141,,0,...,7,,10,,10,,0,...,0,...,0,...,4,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Benin,All,Exports,Value (USD 1000),USD (1000),173,,168,E,22,,46,,2,,16,,1,,0,...,55,,142,,391,,113,,260,E,180,E,120,E,139,E,56,,1030,E,1518,E,1263,E,1723,E,1414,E,1274,,940,,1467,,2408,,3210,,1934,,745,,997,,1185,,387,,33,,156,,1342,,1262,,374,,413,,919,,243,,138,,117,,115,,138.51,E,124.58,,66.26,
